id,title,credits,download_icon0,download_icon0_mirror,download_url,download_url_mirror,download_readme,download_readme_mirror,download_src,download_src_mirror,time_added,config_type,options,type,depends,visible
RTST00010,Homebrew Downloader,D5C85B13876B8,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/RTST00010_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/RTST00010.vpk,None,None,None,https://github.com/D5C85B13876B8/hbb.git,None,1588341703,None,None,VPK,None,True
NLTK00001,VITAPluginsManager,NeoLTK,https://raw.githubusercontent.com/NeoLTK/VITAPluginsManager/master/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/NLTK00001_icon0.png,https://github.com/NeoLTK/VITAPluginsManager/releases/download/0.6/VITAPluginsManager.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/NLTK00001.vpk,https://raw.githubusercontent.com/NeoLTK/VITAPluginsManager/master/readme.txt,None,https://github.com/NeoLTK/VITAPluginsManager.git,None,1588341702,None,None,VPK,None,True
TEMA00001,TEMA,Mithrenes,https://raw.githubusercontent.com/Mithrenes/TEMA/master/res/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/TEMA00001_icon0.png,https://github.com/Mithrenes/TEMA/releases/download/v1.5/TEMA.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/TEMA00001.vpk,None,None,https://github.com/Mithrenes/TEMA.git,None,1588341701,None,None,VPK,None,True
PSP2PUP00,PUP-Extractor,Princess of Sleeping,None,None,https://github.com/Princess-of-Sleeping/PSV-PUP-Extractor/releases/download/1.3/PUP-Extractor.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/PSP2PUP00.vpk,https://raw.githubusercontent.com/Princess-of-Sleeping/PSV-PUP-Extractor/master/README.md,None,https://github.com/Princess-of-Sleeping/PSV-PUP-Extractor.git,None,1588341700,None,None,VPK,None,True
VITACALCI,Calculator,Flappy Jesus,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/VITACALCI_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/VITACALCI.vpk,None,None,None,None,None,1588341699,None,None,VPK,None,True
MAIM00001,MaiDumpTool,LioMajor,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/MAIM00001_icon0.png,None,https://github.com/LioMajor/MaiDumpToolEN/releases/download/V233.2zEx_eng/MaiDumpTool_V233.2zEx_eng.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/MAIM00001.vpk,https://raw.githubusercontent.com/LioMajor/MaiDumpToolEN/master/README.md,None,https://github.com/LioMajor/MaiDumpToolEN.git,None,1588341698,None,None,VPK,None,True
PSVIBE001,PSVibe,NamelessGhoul0,https://raw.githubusercontent.com/NamelessGhoul0/PSVibe/master/res/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/PSVIBE001_icon0.png,https://github.com/NamelessGhoul0/PSVibe/releases/download/v2-final/PSVibe.v2-final.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/PSVIBE001.vpk,https://raw.githubusercontent.com/NamelessGhoul0/PSVibe/master/README.md,None,https://github.com/NamelessGhoul0/PSVibe.git,None,1588341697,None,None,VPK,None,True
CRFT00001,Minicraft,Rinnegatamante,https://raw.githubusercontent.com/Rinnegatamante/MinicraftVita/master/build/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/CRFT00001_icon0.png,https://vitadb.rinnegatamante.it/get_hb_url.php?id=24,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/CRFT00001.vpk,https://raw.githubusercontent.com/Rinnegatamante/MinicraftVita/master/README.md,None,https://github.com/Rinnegatamante/MinicraftVita.git,None,1588341696,None,None,VPK,None,True
WNTD00001,vitaWanted,Rinnegatamante,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/WNTD00001_icon0.png,None,https://vitadb.rinnegatamante.it/get_hb_url.php?id=19,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/WNTD00001.vpk,None,None,None,None,1588341695,None,None,VPK,None,True
ARIEL0001,RejuveSnake,Ruben_Wolfe,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/ARIEL0001_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/ARIEL0001.vpk,None,None,None,None,None,1588341694,None,None,VPK,None,True
GBOT00001,milieTetris,GUIDOBOT,https://raw.githubusercontent.com/GUIDOBOT/milieTetris/master/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/GBOT00001_icon0.png,https://raw.githubusercontent.com/GUIDOBOT/milieTetris/master/release/milieTetris1.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/GBOT00001.vpk,None,None,https://github.com/GUIDOBOT/milieTetris.git,None,1588341693,None,None,VPK,None,True
ROWS00001,4Rows,Rinnegatamante,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/ROWS00001_icon0.png,None,https://vitadb.rinnegatamante.it/get_hb_url.php?id=65,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/ROWS00001.vpk,None,None,None,None,1588341692,None,None,VPK,None,True
XERP00003,realboy,xerpi,https://raw.githubusercontent.com/xerpi/realboy-vita/master/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/XERP00003_icon0.png,https://github.com/xerpi/realboy-vita/releases/download/1.2/realboy.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/XERP00003.vpk,https://raw.githubusercontent.com/xerpi/realboy-vita/master/README,None,https://github.com/xerpi/realboy-vita.git,None,1588341691,None,None,VPK,None,True
PRIMER001,Procedural Planets,Primer0 & Ruben_Wolfe,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/PRIMER001_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/PRIMER001.vpk,None,None,None,https://drive.google.com/file/d/0B4QqovA_rXzGT3I3ZUdpTnJtc2s/view,None,1588341689,None,None,VPK,None,True
SCRENFLSH,VitaScreenFlasher,NamelessGhoul0,None,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SCRENFLSH.vpk,None,https://raw.githubusercontent.com/NamelessGhoul0/VitaScreenFlasher/master/README.md,None,https://github.com/NamelessGhoul0/VitaScreenFlasher.git,None,1588341688,None,None,VPK,None,True
ARIEL0002,Game of life,Ruben_Wolfe,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/ARIEL0002_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/ARIEL0002.vpk,None,None,None,None,None,1588341687,None,None,VPK,None,True
GS0100001,Moon Whitelister,gnmmarechal,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/GS0100001_icon0.png,None,https://github.com/gnmmarechal/moon-whitelister/releases/download/v1.0c/MoonWhitelisterv1.0c.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/GS0100001.vpk,https://raw.githubusercontent.com/gnmmarechal/moon-whitelister/master/README.md,None,https://github.com/gnmmarechal/moon-whitelister.git,None,1588341686,None,None,VPK,None,True
ERPG00001,EasyRPG Player,EasyRPG Team & Rinnegatamante,https://raw.githubusercontent.com/EasyRPG/Player/master/builds/psvita/vpk_builder/assets/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/ERPG00001_icon0.png,https://ci.easyrpg.org/job/player-vita/lastSuccessfulBuild/artifact/builds/psvita/EasyRPG.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/ERPG00001.vpk,https://raw.githubusercontent.com/EasyRPG/Player/master/README.md,None,https://github.com/EasyRPG/Player.git,None,1588341685,None,None,VPK,None,True
AF1A00001,VitaGraphs,Creckeryop,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/AF1A00001_icon0.png,None,https://github.com/Creckeryop/VitaGraphs/releases/download/0010/VitaGraphs.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/AF1A00001.vpk,https://raw.githubusercontent.com/Creckeryop/VitaGraphs/master/README.md,None,https://github.com/Creckeryop/VitaGraphs.git,None,1588341684,None,None,VPK,None,True
